group,avg_gt,avg_e,diff_perc,diff_perc_abs,avg_diff,avg_diff_abs,gt_cv,spearman_corr,p_value_s,pearson_corr,p_value_p
Display,11.898402893370946,7.539760361310152,-25.823047231731678,31.893518879341272,-4.358642532060792,4.609476940316286,59.65954081163336,0.8991554788869722,5.4674077462559744e-73,0.8863007422125697,4.0773226968988225e-68
CPUa,57.28220815813966,52.6294893549499,-6.979383193203866,9.275426238097982,-4.6527188031897575,5.540082230351029,16.343222935491582,0.9417835445886148,1.122645627420936e-95,0.9344368450693319,1.0009672422383884e-90
Net,8.834672788249115,0.0,-100.0,100.0,-8.834672788249115,8.834672788249115,33.21509185261215,,,,
GPU,8.9898113140232,10.791537927905056,41.50767811013124,42.35290947384246,1.8017266138818557,1.917304775727215,38.01158901706966,0.9534073351833796,5.314832021548888e-105,0.9698693452593713,2.1745133028967616e-123
