Model,MSE,R-squared,Min Error (%),Q1 (%),Median (%),Q3 (%),Max Error (%),Average Error (%)
Linear Regression,128121087862.91646,0.9063662036185467,0.01006890850081058,2.921992016185027,6.828269712795678,11.106222595176384,39.68871908348762,8.09163740003704
Ridge,128121087862.58714,0.9063662036187873,0.01006890849051676,2.9219920161813575,6.828269712770496,11.10622259510086,39.68871908324581,8.091637400019714
Lasso,128121270932.55037,0.9063660698271068,0.010073402374440252,2.9219798373441526,6.8282704873571465,11.106261045270308,39.688763472927526,8.091644268347242
Elastic Net,128121087866.84862,0.9063662036156729,0.010068908647503119,2.9219920158628,6.8282697126959135,11.106222595971076,39.688719083996205,8.091637400181934
Decision Tree,225096041735.5257,0.8354947082506331,0.06433914599086438,3.489236173613583,7.711831635324178,12.262788456375944,51.73653445535007,9.35452317553483
Random Forest,99823603199.48886,0.927046647105864,0.007869718487387855,2.642910134497949,5.617875707375369,9.918568808181078,30.507292788504774,6.810906332416564
Gradient Boosting,98175585892.5211,0.92825105552549,0.13297268312986188,2.697533063800093,5.460500095451305,8.613946047240066,31.315035797478984,6.598747764217897
KNeighborsRegressor,713751880273.435,0.47837394031567504,0.002386648510656468,7.100287169861501,13.558694204059417,23.010694106003662,79.26602424909223,17.20908124012217
