,display,cpu,gpu,network,gps,bg
idle,0.22578592723791088,0.0769548935853817,0.23875375025076165,0.03470980667704836,0.24392034342111674,0.17987527882778084
browsing,0.5366705267037764,0.24390384681212687,0.03924096390861973,0.07749971934582066,0.0566049598813949,0.046079983348261536
video,0.5174361043352027,0.33552056478847236,0.02552034831410116,0.0813038567949345,0.013124648854868312,0.027094476912420985
gaming,0.453733199451655,0.2106050364094431,0.2299712281727898,0.04810558673958946,0.037661192942793735,0.019923756283728875
navigation,0.40177976489298084,0.15223742827436224,0.049355982300276165,0.18747787655939133,0.17892686231558566,0.03022208565740369
