Cell_ID,Degradation_State,0,1,2,3,4,5,6
35C02,II,24580.57382,2.0,596.71857,0.63524,0.08526,0.64094,-7.64404
35C02,II,24580.81182,2.0,471.96338,0.64846,0.08899,0.65453,-7.81377
35C02,II,24581.05083,2.0,373.20856,0.66314,0.0926,0.66958,-7.9494
35C02,II,24581.28883,2.0,295.47278,0.67807,0.09678,0.68495,-8.12271
35C02,II,24581.52783,2.0,233.87738,0.69254,0.10126,0.6999,-8.31816
35C02,II,24581.76583,2.0,185.05922,0.70671,0.10507,0.71448,-8.45652
35C02,II,24582.00183,2.0,146.35823,0.72285,0.10926,0.73106,-8.59547
35C02,II,24582.23783,2.0,115.77804,0.7381,0.11436,0.7469,-8.80734
35C02,II,24582.47283,2.0,91.6721,0.75352,0.11841,0.76276,-8.93072
35C02,II,24582.71783,2.0,72.51701,0.76957,0.12595,0.77981,-9.29458
35C02,II,24582.94683,2.0,57.36816,0.78913,0.12883,0.79958,-9.27224
35C02,II,24583.18383,2.0,45.3629,0.80691,0.13543,0.81819,-9.52795
35C02,II,24583.41583,2.0,35.93134,0.83028,0.14749,0.84328,-10.07258
35C02,II,24583.66683,2.0,28.40909,0.85366,0.15532,0.86768,-10.31219
35C02,II,24583.88083,2.0,22.48202,0.88134,0.16323,0.89633,-10.49253
35C02,II,24584.14583,2.0,17.79613,0.91523,0.16722,0.93038,-10.3542
35C02,II,24584.39783,2.0,14.06813,0.94612,0.15937,0.95945,-9.56138
35C02,II,24584.61383,2.0,11.1448,0.9761,0.16315,0.98964,-9.48913
35C02,II,24584.88083,2.0,8.81772,1.00247,0.14361,1.0127,-8.15255
35C02,II,24585.05983,2.0,6.97545,1.04012,0.13171,1.04843,-7.21716
35C02,II,24585.27783,2.0,5.5173,1.05867,0.13319,1.06702,-7.17063
35C02,II,24585.54683,2.0,4.36941,1.06234,0.1178,1.06885,-6.32768
35C02,II,24585.88183,2.0,3.45686,1.06942,0.08968,1.07317,-4.79355
35C02,II,24586.30083,2.0,2.73547,1.09111,0.06322,1.09294,-3.31588
35C02,II,24586.82583,2.0,2.16054,1.11879,0.0532,1.12006,-2.72265
35C02,II,24587.48483,2.0,1.70952,1.13825,0.06119,1.13989,-3.07694
35C02,II,24588.31383,2.0,1.35352,1.13867,0.07803,1.14134,-3.91997
35C02,II,24589.35683,2.0,1.07079,1.11921,0.08917,1.12276,-4.55538
