Initial_SOC,SOC_value,Linear_TTE_h,Coulomb_TTE_h,Proposed_TTE_h,Linear_MAPE_%,Coulomb_MAPE_%,Proposed_MAPE_%,Improvement_vs_Linear_%,Improvement_vs_Coulomb_%
100%,1.0,20.727265352310308,20.727265352310308,20.22100000000173,2.503661304132014,2.503661304132014,0.0,100.0,100.0
80%,0.8,16.581812281848247,16.581812281848247,15.64099999999677,6.015039203706098,6.015039203706098,0.0,100.0,100.0
50%,0.5,10.363632676155154,10.363632676155154,9.133000000000377,13.474572168561544,13.474572168561544,0.0,100.0,100.0
20%,0.2,4.145453070462062,4.145453070462062,2.969999999999784,39.577544460012234,39.577544460012234,0.0,100.0,100.0
